<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100728,000000,7087.8500000,7196.9800000,7085.6500000,7168.3200000,27712
20100729,000000,7168.3200000,7268.6300000,7136.3500000,7195.8800000,27664
20100730,000000,7194.7800000,7311.6200000,7158.4000000,7297.2900000,25972
20100801,000000,7300.6000000,7404.2200000,7278.5500000,7387.6800000,2442
20100802,000000,7385.4800000,7487.9900000,7359.0200000,7424.0600000,23106
20100803,000000,7424.0600000,7443.9000000,7335.8700000,7374.4500000,22549
20100804,000000,7374.4500000,7518.8600000,7348.0000000,7463.7400000,28413
20100805,000000,7463.7400000,7481.3800000,7324.8500000,7396.5000000,26367
20100806,000000,7397.6000000,7451.6200000,7330.3600000,7409.7300000,22204
20100808,000000,7407.5200000,7456.0200000,7354.6100000,7439.4900000,1282
20100809,000000,7440.5900000,7482.4800000,7350.2000000,7355.7100000,16836
20100810,000000,7356.8200000,7368.9400000,7212.4100000,7308.3200000,27254
20100811,000000,7308.3200000,7312.7200000,7123.1300000,7150.6800000,26961
20100812,000000,7151.7900000,7282.9600000,7135.2500000,7276.3500000,25433
20100813,000000,7276.3500000,7301.7000000,7134.1500000,7179.3500000,27826
20100815,000000,7172.7300000,7213.5200000,7159.5000000,7201.3900000,1970
20100816,000000,7203.6000000,7280.7600000,7183.7500000,7247.6900000,18457
20100817,000000,7249.8900000,7396.5000000,7246.5900000,7373.3500000,21907
20100818,000000,7372.2500000,7393.1900000,7286.2700000,7345.7900000,21374
20100819,000000,7351.3100000,7473.6600000,7256.5100000,7267.5300000,28221
20100820,000000,7268.6300000,7279.6600000,7163.9100000,7262.0200000,21700
20100822,000000,7266.4300000,7303.9100000,7230.0500000,7264.2200000,927
20100823,000000,7262.0200000,7282.9600000,7183.7500000,7239.9700000,14866
20100824,000000,7239.9700000,7252.1000000,7032.7400000,7131.9500000,28852
20100825,000000,7134.1500000,7208.0100000,7005.1800000,7196.9800000,24126
20100826,000000,7196.9800000,7306.1100000,7161.7100000,7263.1200000,22822
20100827,000000,7263.1200000,7460.4300000,7256.5100000,7456.0200000,22942
20100829,000000,7495.7100000,7564.0500000,7456.0200000,7496.8100000,870
20100830,000000,7499.0100000,7529.8800000,7430.6700000,7449.4100000,5977
20100831,000000,7448.3100000,7615.8600000,7398.7000000,7558.5400000,30977
20100901,000000,7558.5400000,7685.3100000,7545.3100000,7669.8700000,26521
20100902,000000,7666.5700000,7726.0900000,7651.1300000,7676.4900000,16470
20100903,000000,7673.1800000,7792.2300000,7658.8500000,7722.7800000,22824
20100905,000000,7701.8400000,7763.5700000,7685.3100000,7752.5500000,857
20100906,000000,7753.6500000,7792.2300000,7668.7700000,7688.6100000,4386
20100907,000000,7687.5100000,7689.7100000,7539.8000000,7639.0100000,20758
20100908,000000,7639.0100000,7749.2400000,7480.2800000,7577.2800000,25299
20100909,000000,7577.2800000,7643.4200000,7510.0400000,7533.1900000,22525
20100910,000000,7535.3900000,7609.2500000,7484.6800000,7510.0400000,18122
20100912,000000,7525.4700000,7656.6500000,7524.3700000,7623.5800000,2497
20100913,000000,7624.6800000,7701.8400000,7621.3700000,7672.0800000,15997
20100914,000000,7669.8700000,7710.6600000,7557.4400000,7615.8600000,24283
20100915,000000,7616.9600000,7679.7900000,7568.4600000,7621.3700000,18507
20100916,000000,7622.4700000,7782.3100000,7591.6100000,7761.3600000,20736
20100917,000000,7765.7700000,7831.9100000,7709.5600000,7750.3400000,22100
20100919,000000,7761.3600000,7824.2000000,7733.8100000,7814.2800000,1643
20100920,000000,7815.3800000,7838.5300000,7704.0400000,7713.9700000,16309
20100921,000000,7711.7600000,7760.2600000,7655.5400000,7732.7000000,20477
20100922,000000,7732.7000000,7915.6900000,7701.8400000,7876.0000000,27771
20100923,000000,7878.2100000,7935.5300000,7846.2400000,7914.5900000,18417
20100924,000000,7914.5900000,8016.0000000,7903.5600000,7996.1600000,19099
20100926,000000,8016.0000000,8033.6400000,7932.2200000,7980.7200000,2143
20100927,000000,7979.6200000,7986.2400000,7899.1500000,7909.0700000,16733
20100928,000000,7909.0700000,8024.8200000,7868.2900000,8021.5100000,23303
20100929,000000,8021.5100000,8098.6700000,7980.7200000,8043.5600000,25013
20100930,000000,8043.5600000,8120.7200000,8010.4900000,8119.6200000,24110
